Player,Position,Draft_Year,Draft_Round,Draft_Pick,Age_when_Drafted,Team,From,To,NFL_Years_Played,Hall_of_Fame_Inductee,All_Pro_First_Team_Selections,Pro_Bowl_Selections,Years_as_NFL_Starter,CarAV,College_Games,College_Games_Started,Rushing_Attempts,Rushing_Yards,Rushing_Touchdowns,Receptions,Receiving _Yards,Receiving_Touchdowns,College_University
Justin_Jackson,RB,2018,7,251,23,LAC,2018,2019,2,0,0,0,0,4,20,1,79,406,2,24,157,0,Northwestern
Leonard_Fournette,RB,2017,1,4,22,JAX,2017,2019,3,0,0,0,3,20,36,36,666,2631,17,134,1009,2,LSU
Christian_McCaffrey,RB,2017,1,8,21,CAR,2017,2019,3,0,1,1,3,38,48,42,623,2920,24,303,2523,15,Stanford
Dalvin_Cook,RB,2017,2,41,22,MIN,2017,2019,3,0,0,1,2,23,29,28,457,2104,17,104,914,2,Florida_St
Joe_Mixon,RB,2017,2,48,21,CIN,2017,2019,3,0,0,0,2,24,44,35,693,2931,17,108,870,4,Oklahoma
Alvin_Kamara,RB,2017,3,67,22,NOR,2017,2019,3,0,0,3,2,41,45,25,485,2408,27,243,2068,10,Tennessee
Kareem_Hunt,RB,2017,3,86,22,KAN,2017,2019,3,0,0,1,2,28,35,30,496,2330,17,116,1118,11,Toledo
D'Onta_Foreman,RB,2017,3,89,21,HOU,2017,2018,2,0,0,0,0,3,11,1,85,326,2,8,111,1,Texas
James_Conner,RB,2017,3,105,22,PIT,2017,2019,3,0,0,1,2,16,37,22,363,1581,16,89,748,4,Pittsburgh
Samaje_Perine,RB,2017,4,114,21,WAS,2017,2019,3,0,0,0,1,5,28,8,188,651,1,25,187,1,Oklahoma
Tarik_Cohen,RB,2017,4,119,22,CHI,2017,2019,3,0,1,1,1,20,48,22,250,1027,5,203,1534,9,North_Carolina_A+T
Joe_Williams,RB,2017,4,121,24,SFO,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Utah
Donnel_Pumphrey,RB,2017,4,132,22,PHI,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,San_Diego_St
Jamaal_Williams,RB,2017,4,134,22,GNB,2017,2019,3,0,0,0,1,15,46,17,381,1480,8,91,725,7,BYU
Wayne_Gallman,RB,2017,4,140,22,NYG,2017,2019,3,0,0,0,0,7,38,5,191,762,3,59,384,2,Clemson
Marlon_Mack,RB,2017,4,143,21,IND,2017,2019,3,0,0,0,2,18,40,22,535,2357,20,52,410,2,South_Florida
Brian_Hill,RB,2017,5,156,21,ATL,2017,2019,3,0,0,0,0,5,29,2,109,517,2,13,114,1,Wyoming
Jeremy_McNichols,RB,2017,5,162,21,TAM,2017,2019,3,0,0,0,0,0,5,0,4,8,0,0,0,0,Boise_St
TJ_Logan,RB,2017,5,179,23,ARI,2018,2019,2,0,0,0,0,0,22,0,5,12,0,9,50,0,North_Carolina
Aaron_Jones,RB,2017,5,182,22,GNB,2017,2019,3,0,0,0,2,20,40,28,450,2260,28,84,702,4,Texas-El_Paso
Elijah_McGuire,RB,2017,6,188,23,NYJ,2017,2018,2,0,0,0,0,6,24,5,180,591,4,36,370,2,Louisiana
Alex_Armah,FB,2017,6,192,23,CAR,2017,2019,3,0,0,0,0,1,41,3,15,26,3,3,11,0,West_Georgia
De'Angelo_Henderson,RB,2017,6,203,24,DEN,2017,2018,2,0,0,0,0,0,8,0,9,32,0,2,36,1,Coastal_Carolina
Sam_Rogers,FB,2017,6,206,22,LAR,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Virginia_Tech
Brandon_Wilson,RB,2017,6,207,23,CIN,2017,2019,3,0,0,0,0,3,36,2,0,0,0,0,0,0,Houston
Devante_Mays,RB,2017,7,238,23,GNB,2017,2017,1,0,0,0,0,0,8,0,4,1,0,3,0,0,Utah_St
Marquez_Williams,FB,2017,7,240,23,JAX,2017,2017,1,0,0,0,0,0,1,0,0,0,0,0,0,0,Miami_FL
Khalfani_Muhammad,RB,2017,7,241,22,TEN,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,California
Elijah_Hood,RB,2017,7,242,21,OAK,2017,2017,1,0,0,0,0,0,1,0,0,0,0,0,0,0,North_Carolina
Chris_Carson,RB,2017,7,249,22,SEA,2017,2019,3,0,0,0,2,21,33,32,574,2589,16,64,488,3,Oklahoma_St
Matthew_Dayes,RB,2017,7,252,23,CLE,2017,2018,2,0,0,0,0,0,23,0,5,13,0,4,29,0,North_Carolina_St
Ezekiel_Elliott,RB,2016,1,4,21,DAL,2016,2019,4,0,1,3,4,49,56,56,1169,5405,40,189,1619,8,Ohio_St
Derrick_Henry,RB,2016,2,45,22,TEN,2016,2019,4,0,0,1,2,27,62,31,804,3833,38,57,578,3,Alabama
